x	f(x)	S(x)	|S-f|
1.98333333333	-2.6864859343	-2.68967093897	0.00318500466325
1.99166666667	-2.89360050706	-2.89491647468	0.00131596761694
2	-3.09861301473	-3.09861301473	0
2.00833333333	-3.30116925372	-3.30050743431	0.000661819410424
2.01666666667	-3.50090667353	-3.50017944724	0.000727226292685
2.025	-3.69745471386	-3.69716697696	0.000287736904461
2.03333333333	-3.89043517336	-3.89100794693	0.000572773574051
2.04166666667	-4.07946261047	-4.08124028062	0.00177767014917
2.05	-4.26414477717	-4.26740190146	0.00325712429185
2.05833333333	-4.44408308613	-4.44903073293	0.00494764680117
2.06666666667	-4.61887311174	-4.62566469846	0.00679158672299
2.075	-4.78810512567	-4.79684172153	0.00873659585191
2.08333333333	-4.95136466717	-4.96209972557	0.0107350584071
2.09166666667	-5.10823314852	-5.12097663406	0.0127434855402
2.1	-5.25828849603	-5.27301037043	0.0147218744039
2.10833333333	-5.40110582657	-5.41773885816	0.0166330315891
2.11666666667	-5.53625815987	-5.55470002068	0.0184418608161
2.125	-5.66331716661	-5.68343178147	0.0201146148547
2.13333333333	-5.78185395223	-5.80347206396	0.0216181117364
2.14166666667	-5.89143987621	-5.91435879163	0.0229189154191
2.15	-5.99164740675	-6.01562988792	0.0239824811644
2.15833333333	-6.08205101029	-6.10682327628	0.0247722659921
2.16666666667	-6.16222807549	-6.18747688018	0.0252488046884
2.175	-6.23175987111	-6.25712862306	0.025368751956
2.18333333333	-6.29023253697	-6.31531642839	0.0250838914161
2.19166666667	-6.33723810732	-6.36157821961	0.0243401122946
2.2	-6.37237556544	-6.39545192019	0.0230763547516
2.20833333333	-6.39525192863	-6.41647545358	0.0212235249494
2.21666666667	-6.40548336214	-6.42418674323	0.0187033810853
2.225	-6.40269632083	-6.41812371259	0.0154273917602
2.23333333333	-6.38652871693	-6.39782428513	0.0112955681952
2.24166666667	-6.35663111234	-6.3628263843	0.0061952719565
2.25	-6.31266793354	-6.31266793354	0
2.25833333333	-6.25431870733	-6.24696994815	0.0073487591776
2.26666666667	-6.18127931503	-6.16568581069	0.0155935043377
2.275	-6.09326326311	-6.06885199556	0.0244112675542
2.28333333333	-5.99000296764	-5.95650497714	0.0334979905015
2.29166666667	-5.87125105003	-5.82868122984	0.0425698201961
2.3	-5.73678164129	-5.68541722803	0.0513644132554
2.30833333333	-5.58639169187	-5.52674944613	0.0596422457434
2.31666666667	-5.41990228403	-5.35271435852	0.0671879255161
2.325	-5.2371599434	-5.16334843959	0.0738115038123
2.33333333333	-5.03803794641	-4.95868816374	0.0793497826738
2.34166666667	-4.82243761998	-4.73877000536	0.08366761462
2.35	-4.59028962968	-4.50363043884	0.0866591908418
2.35833333333	-4.3415552526	-4.25330593858	0.0882493140235
2.36666666667	-4.07622763072	-3.98783297897	0.0883946517498
2.375	-3.79433300072	-3.70724803441	0.0870849663063
2.38333333333	-3.49593189582	-3.41158757929	0.0843443165367
2.39166666667	-3.18112031528	-3.10088808799	0.0802322272848
2.4	-2.85003085673	-2.77518603492	0.0748448218131
2.40833333333	-2.50283380694	-2.43451789447	0.0683159124688
2.41666666667	-2.13973818578	-2.07892014103	0.0608180447484
2.425	-1.7609927388	-1.70842924899	0.0525634898051
2.43333333333	-1.36688687309	-1.32308169275	0.0438051803432
2.44166666667	-0.957751531459	-0.922913946703	0.0348375847565
2.45	-0.533959999528	-0.507962485239	0.0259975142887
2.45833333333	-0.0959286406848	-0.0782637827527	0.0176648579321
2.46666666667	0.355882446638	0.366145686363	0.0102632397245
2.475	0.820968854643	0.825229447714	0.00426059307041
2.48333333333	1.29878138022	1.29895102691	0.000169646688068
2.49166666667	1.78872563277	1.78727394955	0.00145168322467
2.5	2.29016174125	2.29016174125	0
2.50833333333	2.80240416566	2.80734809189	0.004943926229
2.51666666667	3.32472161855	3.33764734851	0.0129257299576
2.525	3.85633710149	3.8796440224	0.0233069209108
2.53333333333	4.39642806198	4.43192262489	0.0354945629159
2.54166666667	4.94412667558	4.99306766728	0.0489409916975
2.55	5.49852025851	5.56166366088	0.0631434023743
2.55833333333	6.05865181512	6.136295117	0.0776433018749
2.56666666667	6.62352072528	6.71554654694	0.0920258216625
2.575	7.19208357567	7.29800246203	0.105918886358
2.58333333333	7.76325513948	7.88224737356	0.11899223408
2.59166666667	8.33590950829	8.46686579285	0.130956284558
2.6	8.90888137984	9.05044223121	0.141560851371
2.60833333333	9.48096750499	9.63156119994	0.150593694946
2.61666666667	10.0509282971	10.2088072104	0.157878913289
2.625	10.617489606	10.7807647738	0.163275167786
2.63333333333	11.1793446597	11.3460184015	0.16667374178
2.64166666667	11.7351561748	11.9031526048	0.167996430058
2.65	12.2835586373	12.4507518951	0.167193257802
2.65833333333	12.8231607555	12.9874007836	0.164240028062
2.66666666667	13.3525480843	13.5116837816	0.159135697255
2.675	13.8702858217	14.0221854005	0.151899578764
2.68333333333	14.3749217763	14.5174901515	0.142568375234
2.69166666667	14.8649895053	14.996182546	0.131193040748
2.7	15.3390116207	15.4568470953	0.117835474662
2.70833333333	15.7955032612	15.8980683107	0.102565049529
2.71666666667	16.2329757274	16.3184307035	0.0854549761595
2.725	16.6499402755	16.716518785	0.06657850957
2.73333333333	17.0449120663	17.0909170665	0.046005000267
2.74166666667	17.4164142634	17.4402100594	0.0237957960152
2.75	17.7629822749	17.7629822749	0
2.75833333333	18.0831681323	18.0579309258	0.0252372064326
2.76666666667	18.3755449987	18.3242040312	0.051340967493
2.775	18.6387117988	18.5610623116	0.0776494871676
2.78333333333	18.8712979601	18.7677664874	0.103531472667
2.79166666667	19.071968258	18.9435772792	0.128390978811
2.8	19.2394277517	19.0877554075	0.15167234425
2.80833333333	19.3724268008	19.1995615927	0.172865208062
2.81666666667	19.4697661499	19.2782565554	0.191509594449
2.825	19.5303020685	19.3231010161	0.207201052441
2.83333333333	19.552951532	19.3333556953	0.219595836694
2.84166666667	19.5366974281	19.3082813134	0.228416114664
2.85	19.4805937757	19.2471385911	0.233455184649
2.85833333333	19.3837709372	19.1491882487	0.234582688413
2.86666666667	19.2454408082	19.0136910069	0.231749801324
